read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1758012,batch01,60.0,60.0,1,2,2,613,,0
1758193,batch01,46.84615384615385,60.0,2,13,4,2992,Cdh19,1
1758208,batch02,60.0,60.0,1,2,2,703,Ikzf2,1
1758325,batch01,42.333333333333336,60.0,1,3,2,620,Cntnap5b,1
1758388,batch04,47.857142857142854,60.0,2,7,2,1776,Cntnap5b;Gm8935,2
1758443,batch01,1.0,1.0,1,2,2,542,,0
1758499,batch04,60.0,60.0,1,5,2,1193,,0
1759537,batch02,51.333333333333336,60.0,1,3,2,730,,0
1760245,batch04,55.5,55.5,1,2,2,525,,0
1760392,batch03,35.0,39.5,4,4,4,1279,,0
1760548,batch04,60.0,60.0,1,5,2,1579,Mgat4c,1
1760893,batch01,60.0,60.0,1,3,2,1005,,0
1760983,batch03,60.0,60.0,1,2,2,565,,0
1761347,batch02,36.111111111111114,60.0,1,9,2,1979,,0
1761414,batch04,50.666666666666664,60.0,1,3,3,865,,0
1761604,batch01,55.2,60.0,1,5,2,1279,,0
1761708,batch01,54.75,60.0,1,4,3,931,,0
1762064,batch03,60.0,60.0,1,3,2,927,Mmp16,1
1762071,batch01,60.0,60.0,1,5,2,1647,Csmd3,1
1762489,batch03,40.333333333333336,60.0,2,3,3,930,,0
1762582,batch03,59.125,60.0,1,8,2,1783,,0
1762975,batch03,60.0,60.0,2,2,2,695,Gm28590,1
1763143,batch02,4.0,4.0,2,2,2,751,,0
1763164,batch01,60.0,60.0,2,2,2,943,,0
1763174,batch04,20.5,11.0,1,4,3,1416,,0
1763490,batch01,13.5,4.0,2,6,3,1422,Gm14359,1
1763917,batch01,11.8,1.0,1,5,4,1122,,0
1763924,batch04,26.666666666666668,19.0,1,3,3,962,,0
1764013,batch03,44.0,60.0,1,3,2,670,,0
1764038,batch01,57.666666666666664,60.0,1,6,2,1580,Cadm2,1
1764190,batch04,53.0,53.0,1,2,2,840,,0
1764328,batch04,60.0,60.0,1,3,2,1338,Cdh10,1
1764529,batch03,6.0,6.0,1,2,2,805,,0
1764572,batch03,60.0,60.0,1,2,2,643,,0
1764582,batch03,39.0,33.0,2,3,2,778,,0
1764674,batch03,46.75,51.5,1,4,2,857,,0
1765166,batch01,60.0,60.0,1,6,2,1671,Lrfn5,1
1765342,batch01,60.0,60.0,1,2,2,644,,0
1765756,batch01,60.0,60.0,1,2,2,612,,0
1766119,batch04,36.5,36.5,1,2,2,621,Vmn1r71,1
1766189,batch04,60.0,60.0,1,2,2,743,Grm5,1
1768355,batch01,20.5,20.5,1,2,2,727,,0
1768381,batch01,1.0,1.0,1,2,2,730,,0
1768430,batch04,48.666666666666664,60.0,1,3,3,885,Slco4c1,1
1768436,batch01,50.4,60.0,2,5,3,1779,Cntnap5b;Lrrc4c,2
1768442,batch01,47.4,60.0,1,10,3,3298,D830032E09Rik;Dpp10,2
1768571,batch03,46.142857142857146,60.0,2,7,3,2164,Tecrl;Epha5,2
1769158,batch01,56.5,60.0,1,4,2,1088,Dpp10,1
1769477,batch01,13.333333333333334,0.0,1,3,2,854,,0
1769574,batch01,48.166666666666664,54.0,1,6,2,1182,,0
1769855,batch03,60.0,60.0,1,4,2,1196,Cadm2,1
1770185,batch01,59.6,60.0,1,5,2,1179,,0
1770449,batch04,44.4,54.0,1,5,2,1125,,0
