read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
2133260,batch01,1.0,1.0,2,3,3,491,,0
2133270,batch01,2.0,0.0,1,3,2,427,Vmn2r51;Vmn2r37;Gm3675,3
2133315,batch01,60.0,60.0,2,2,2,556,Slc2a9;Shank2,2
2133387,batch03,51.666666666666664,60.0,2,3,3,1059,Zfhx3;Nos2,2
2133521,batch04,60.0,60.0,2,2,2,492,Prkcb;St6galnac3,2
2133872,batch01,60.0,60.0,1,3,2,826,Gm43570;Spata16,2
2133890,batch01,39.333333333333336,48.0,1,3,2,679,,0
2133891,batch04,49.0,60.0,2,4,3,837,Gatb;Gm37240,2
2133943,batch03,7.0,7.0,2,4,2,808,Grin2a,1
2133980,batch03,59.5,60.0,1,4,2,879,,0
2134001,batch04,18.25,6.0,4,8,4,1734,Adra1b;Dgki,2
2134121,batch03,35.666666666666664,24.0,1,3,2,691,Ranbp17;Fbxw11,2
2134127,batch03,60.0,60.0,1,3,2,965,,0
2134184,batch01,40.0,60.0,3,3,3,698,Dcun1d1,1
2134307,batch03,60.0,60.0,1,5,2,1080,Pik3ca,1
2134314,batch04,26.6,13.0,1,5,2,1223,Snhg14,1
2134394,batch01,25.8,9.0,3,5,4,978,Usp33,1
2134564,batch01,57.5,57.5,2,2,2,564,,0
2134609,batch01,40.125,47.5,1,8,2,1390,Gm11033;D030068K23Rik,2
2134763,batch03,48.4,60.0,1,5,2,1039,Stox2,1
2134873,batch04,43.25,56.5,2,4,3,752,Tex15,1
2134955,batch03,51.5,53.5,1,4,2,1215,Gm36243;Phkb,2
2135015,batch04,45.25,60.0,1,4,2,955,Arhgap10;Gm10649;Nr3c2,3
2135041,batch01,27.0,23.5,3,4,4,703,Chl1;Cacna1c,2
2135138,batch03,60.0,60.0,1,2,2,550,Ttll3,1
2135186,batch03,48.666666666666664,60.0,1,3,2,815,Amfr;C78859,2
2135198,batch01,27.0,18.0,2,3,2,525,Ces2g;Gstm2,2
2135337,batch04,60.0,60.0,1,2,2,454,Adam9;Tex15,2
2135347,batch01,40.333333333333336,60.0,2,3,3,639,Tuft1;Gm43730,2
2135472,batch01,60.0,60.0,1,2,2,704,Irf2,1
2135481,batch04,60.0,60.0,1,4,2,1212,Gm56822;D030068K23Rik,2
2135554,batch01,52.2,60.0,1,5,3,929,Wwox;Cmip,2
2135597,batch01,60.0,60.0,1,3,2,764,Wwc2;Frem3,2
2135654,batch04,56.5,56.5,1,2,2,772,Gm9294,1
2135679,batch03,49.5,51.5,1,4,2,853,Rnf150;Gm30605,2
2136004,batch01,53.0,53.0,1,2,2,586,6430548M08Rik,1
2136368,batch01,41.333333333333336,60.0,2,3,3,688,Adam18;Nhsl2;Zmat4,3
2136484,batch01,40.0,60.0,3,3,3,548,Grin2a,1
2136946,batch04,3.6666666666666665,0.0,1,3,2,763,,0
2137042,batch04,60.0,60.0,2,9,4,1688,Ndrg4;Srpr,2
2137181,batch01,60.0,60.0,2,3,3,1101,Kif4,1
2137272,batch04,24.4,1.0,2,5,3,987,,0
2137359,batch04,60.0,60.0,2,2,2,591,,0
2137399,batch03,49.333333333333336,60.0,1,3,2,662,,0
2137499,batch01,58.0,60.0,1,5,2,995,Pdlim5,1
2137512,batch01,40.0,60.0,1,3,2,721,Obox1,1
2137663,batch02,55.333333333333336,60.0,3,6,3,1354,Nt5m;Wnt3a,2
2137699,batch02,60.0,60.0,2,5,3,1138,Svopl,1
2137878,batch04,60.0,60.0,1,4,2,1042,,0
2137900,batch04,31.0,30.0,3,14,4,2207,Chl1;Lrrc8e,2
2138156,batch01,58.333333333333336,60.0,1,6,2,1225,Csgalnact1,1
2138181,batch03,58.666666666666664,60.0,2,6,2,1159,Slc4a5,1
2138190,batch03,20.1,3.5,4,10,4,2268,Sox5;Gm11754,2
2138217,batch04,60.0,60.0,2,2,2,595,Dner,1
2138319,batch04,60.0,60.0,1,2,2,450,Fut10;Psd3,2
2138321,batch03,37.5,37.5,1,2,2,478,Fut10;Nrg1,2
2138324,batch03,30.5,30.5,1,2,2,470,4932416K20Rik,1
2138409,batch01,49.4,60.0,1,5,2,972,Adam9;Zmat4,2
2138420,batch03,60.0,60.0,1,2,2,603,Pkd1l3,1
2138550,batch04,52.857142857142854,60.0,2,7,3,1511,Slc10a7;Exoc6b,2
2138645,batch01,45.5,60.0,3,6,3,1029,Cep112;Mitf,2
2138697,batch03,33.75,37.0,3,4,3,871,Vmn2r51,1
2138736,batch01,5.333333333333333,1.0,1,3,2,538,,0
2138759,batch03,15.0,0.0,3,4,4,647,2810047C21Rik1;Nhs,2
2138828,batch01,60.0,60.0,1,2,2,525,Csmd1;Gm35453,2
2138923,batch01,34.2,34.0,3,5,4,1147,Ikbkb;Dctn6,2
2138983,batch01,50.0,53.0,1,3,2,915,Ccdc136,1
2139278,batch03,45.0,60.0,2,3,2,613,Ninj2;Inpp4b,2
2139341,batch02,38.5,38.5,2,2,2,454,Klhl2;Atp6v0a4,2
2139365,batch01,60.0,60.0,1,3,2,642,Lncpint;Mgam,2
2139374,batch04,29.0,26.0,2,3,2,894,Pals2,1
2139426,batch01,37.75,38.0,2,4,2,650,Snd1,1
2139453,batch04,22.333333333333332,6.0,2,3,2,699,Adcyap1r1,1
2139465,batch01,60.0,60.0,2,2,2,458,Ppfibp1,1
2139477,batch04,60.0,60.0,1,6,2,1693,Edem1;Itpr1,2
2139554,batch01,60.0,60.0,1,4,2,892,Tspan9;Itpr1,2
2139589,batch01,60.0,60.0,1,3,2,635,Gm45861,1
2139778,batch01,43.0,36.0,2,3,2,767,Gm10354,1
2139938,batch04,60.0,60.0,2,3,2,866,,0
2140354,batch03,41.5,52.5,2,4,3,682,4933431K23Rik,1
2140786,batch04,49.2,60.0,1,5,2,1061,St6galnac3,1
2141113,batch01,40.333333333333336,60.0,2,3,3,787,,0
2141155,batch01,33.0,36.0,3,4,4,963,Sik3,1
2141905,batch04,60.0,60.0,1,4,2,1010,,0
2142422,batch02,55.0,55.0,1,2,2,473,Lrig2,1
2142589,batch03,38.5,38.5,2,2,2,389,Bicd2,1
2142946,batch01,36.57142857142857,38.0,4,7,4,1316,Gm29865;Lnx2,2
2143019,batch04,22.833333333333332,16.5,1,6,3,1378,Gm7648,1
2143026,batch03,0.5,0.5,1,4,2,980,Gm45351,1
2143030,batch04,36.0,42.0,1,4,2,892,,0
2143037,batch03,1.3333333333333333,1.0,2,3,3,726,,0
2143058,batch03,60.0,60.0,1,2,2,663,,0
2143077,batch04,51.0,60.0,1,4,2,734,Arhgap10,1
2143090,batch04,42.4,60.0,3,5,3,1223,Cracr2a,1
2143130,batch04,43.25,43.5,1,4,2,977,Stox2,1
2143134,batch01,30.5,30.5,2,4,3,951,Cdh13,1
2143161,batch03,47.5,49.0,1,4,3,1414,Ddx19b;Gm56826,2
2143175,batch01,60.0,60.0,1,2,2,801,Pkd1l3;Wwox,2
2143207,batch01,60.0,60.0,1,4,2,911,Arhgap10;Gm10649,2
2143226,batch03,14.666666666666666,1.0,5,9,5,1870,Chl1;Defb50,2
2143259,batch03,56.0,56.0,2,2,2,379,Slc38a7,1
2143273,batch03,33.333333333333336,36.0,1,3,2,786,Gclm;Gm27008,2
2143277,batch03,44.666666666666664,60.0,1,3,3,908,Gm45861;Gm7706,2
2143284,batch04,60.0,60.0,1,2,2,542,Stox2,1
2143288,batch01,37.666666666666664,51.0,2,3,2,554,Sorbs2os;Ak5,2
2143379,batch01,39.666666666666664,58.0,2,3,2,658,Kcnmb2;Gm6526,2
2143417,batch04,18.4,1.0,5,10,5,1737,Pdxdc1,1
2143453,batch03,56.5,56.5,1,2,2,559,,0
2143561,batch04,60.0,60.0,1,2,2,486,Epn2,1
2143732,batch01,13.666666666666666,12.0,3,3,3,667,Magi1,1
2143753,batch03,48.0,48.0,1,2,2,964,Eogt,1
2143759,batch01,60.0,60.0,1,4,3,871,4930590J08Rik;Wnt5b;Cacna1c,3
2143776,batch04,47.0,60.0,1,4,2,689,Nup210;Slc6a6;Ninj2,3
2143803,batch04,60.0,60.0,2,4,2,1175,Ptpn22;Cacna1c,2
2143808,batch04,56.8,60.0,1,5,3,1173,,0
2143817,batch04,58.666666666666664,60.0,2,3,3,598,Chl1;Ube2h,2
2143822,batch03,60.0,60.0,1,3,2,775,Gm13860;Exoc4,2
2143846,batch04,58.0,60.0,1,3,2,643,Thumpd3;Srgap3,2
2143861,batch01,60.0,60.0,1,3,2,576,Skap2;Wdr91,2
2143863,batch01,47.666666666666664,60.0,1,3,2,679,Ahcyl2;Zc3hc1,2
2143866,batch01,47.5,47.5,1,2,2,463,Nat8f2;Gpnmb,2
2143867,batch04,44.0,60.0,1,3,2,555,Lncpint;D630045J12Rik,2
2143870,batch01,44.166666666666664,56.5,1,6,2,1579,Mrps25;Osbpl3,2
2143908,batch03,60.0,60.0,1,2,2,544,St6galnac3,1
2144338,batch01,41.75,46.0,2,8,2,1302,,0
2144491,batch03,60.0,60.0,2,2,2,565,Syngap1,1
2144721,batch01,60.0,60.0,1,3,3,718,Cars2,1
2144780,batch03,60.0,60.0,2,3,3,876,Itpr2;Gm31135,2
2144810,batch02,60.0,60.0,1,3,2,777,Cacna1a,1
2144816,batch04,54.666666666666664,60.0,2,3,2,723,Grm4,1
2144924,batch04,40.333333333333336,35.0,3,3,3,771,Clasp1,1
2144951,batch04,47.57142857142857,60.0,1,7,2,1038,Tatdn2;Mtmr14,2
2144954,batch03,58.77777777777778,60.0,1,9,3,1887,Iqsec1;Fbln2;Gm32592;Mdfic2,4
2144964,batch03,53.0,60.0,2,8,3,1416,Sox5;Nrg1,2
2144995,batch03,49.0,60.0,1,3,2,922,Hdhd5,1
2145103,batch03,36.2,51.0,1,5,2,1358,Irak2,1
2145108,batch01,60.0,60.0,1,5,3,1166,Prokr1;Loxl3;Gmcl1,3
2145392,batch04,27.1,20.5,3,10,6,1926,Sparc;Ranbp17;Sfi1;Gm33838,4
2145427,batch02,56.75,60.0,2,4,2,1037,1700069P05Rik,1
2145596,batch04,57.0,60.0,2,5,3,1197,Gm3134;Zfp423,2
2145805,batch03,25.2,5.0,3,5,4,839,Gm16159;Gm15581,2
